File,Cleaned_file
Sound253,1022_DFA_ANG_XX
Sound254,1022_DFA_ANG_XX
Sound255,1022_DFA_ANG_XX
Sound256,1067_IEO_HAP_MD
Sound257,1067_IEO_HAP_MD
Sound258,1067_IEO_HAP_MD
Sound259,1067_DFA_FEA_XX
Sound260,1067_DFA_FEA_XX
Sound261,1067_DFA_FEA_XX
Sound262,1029_IWW_HAP_XX
Sound263,1029_IWW_HAP_XX
Sound264,1029_IWW_HAP_XX
Sound265,1035_DFA_FEA_XX
Sound266,1035_DFA_FEA_XX
Sound267,1035_DFA_FEA_XX
Sound268,1050_WSI_SAD_XX
Sound269,1050_WSI_SAD_XX
Sound270,1050_WSI_SAD_XX
Sound271,1034_IWL_SAD_XX
Sound272,1034_IWL_SAD_XX
Sound273,1034_IWL_SAD_XX
Sound274,1005_IOM_ANG_XX
Sound275,1005_IOM_ANG_XX
Sound276,1005_IOM_ANG_XX
Sound277,1051_IWL_NEU_XX
Sound278,1051_IWL_NEU_XX
Sound279,1051_IWL_NEU_XX
Sound280,1067_IWL_ANG_XX
Sound281,1067_IWL_ANG_XX
Sound282,1067_IWL_ANG_XX
Sound283,1048_DFA_DIS_XX
Sound284,1048_DFA_DIS_XX
Sound285,1048_DFA_DIS_XX
Sound286,1034_IOM_FEA_XX
Sound287,1034_IOM_FEA_XX
Sound288,1034_IOM_FEA_XX
Sound289,1001_MTI_DIS_XX
Sound290,1001_MTI_DIS_XX
Sound291,1001_MTI_DIS_XX
Sound292,1054_TIE_DIS_XX
Sound293,1054_TIE_DIS_XX
Sound294,1054_TIE_DIS_XX
Sound295,1034_IEO_FEA_HI
Sound296,1034_IEO_FEA_HI
Sound297,1034_IEO_FEA_HI
Sound298,1020_IEO_HAP_HI
Sound299,1020_IEO_HAP_HI
Sound300,1020_IEO_HAP_HI
Sound301,1067_MTI_SAD_XX
Sound302,1067_MTI_SAD_XX
Sound303,1067_MTI_SAD_XX
Sound304,1077_IEO_ANG_HI
Sound305,1077_IEO_ANG_HI
Sound306,1077_IEO_ANG_HI
Sound307,1027_IEO_NEU_XX
Sound308,1027_IEO_NEU_XX
Sound309,1027_IEO_NEU_XX
Sound310,1028_ITS_NEU_XX
Sound311,1028_ITS_NEU_XX
Sound312,1028_ITS_NEU_XX
Sound313,1028_DFA_ANG_XX
Sound314,1028_DFA_ANG_XX
Sound315,1028_DFA_ANG_XX
Sound316,1020_IEO_HAP_LO
Sound317,1020_IEO_HAP_LO
Sound318,1020_IEO_HAP_LO
Sound319,1067_WSI_ANG_XX
Sound320,1067_WSI_ANG_XX
Sound321,1067_WSI_ANG_XX
Sound322,1028_IEO_ANG_LO
Sound323,1028_IEO_ANG_LO
Sound324,1028_IEO_ANG_LO
Sound325,1072_ITH_NEU_XX
Sound326,1072_ITH_NEU_XX
Sound327,1072_ITH_NEU_XX
Sound328,1034_IOM_DIS_XX
Sound329,1034_IOM_DIS_XX
Sound330,1034_IOM_DIS_XX
Sound331,1020_IEO_ANG_HI
Sound332,1020_IEO_ANG_HI
Sound333,1020_IEO_ANG_HI
Sound334,1061_IEO_FEA_HI
Sound335,1061_IEO_FEA_HI
Sound336,1061_IEO_FEA_HI
Sound337,1078_WSI_ANG_XX
Sound338,1078_WSI_ANG_XX
Sound339,1078_WSI_ANG_XX
Sound340,1084_TIE_DIS_XX
Sound341,1084_TIE_DIS_XX
Sound342,1084_TIE_DIS_XX
Sound343,1040_TSI_HAP_XX
Sound344,1040_TSI_HAP_XX
Sound345,1040_TSI_HAP_XX
Sound346,1001_IWL_HAP_XX
Sound347,1001_IWL_HAP_XX
Sound348,1001_IWL_HAP_XX
Sound349,1068_IEO_ANG_HI
Sound350,1068_IEO_ANG_HI
Sound351,1068_IEO_ANG_HI
Sound352,1063_WSI_SAD_XX
Sound353,1063_WSI_SAD_XX
Sound354,1063_WSI_SAD_XX
Sound355,1016_ITS_SAD_XX
Sound356,1016_ITS_SAD_XX
Sound357,1016_ITS_SAD_XX
Sound358,1077_WSI_FEA_XX
Sound359,1077_WSI_FEA_XX
Sound360,1077_WSI_FEA_XX
Sound361,1006_IEO_ANG_LO
Sound362,1006_IEO_ANG_LO
Sound363,1006_IEO_ANG_LO
Sound364,1008_TAI_HAP_XX
Sound365,1008_TAI_HAP_XX
Sound366,1008_TAI_HAP_XX
Sound367,1037_TSI_DIS_XX
Sound368,1037_TSI_DIS_XX
Sound369,1037_TSI_DIS_XX
Sound370,1070_IWL_SAD_XX
Sound371,1070_IWL_SAD_XX
Sound372,1070_IWL_SAD_XX
Sound373,1053_IWW_SAD_XX
Sound374,1053_IWW_SAD_XX
Sound375,1053_IWW_SAD_XX
Sound376,1038_ITH_ANG_XX
Sound377,1038_ITH_ANG_XX
Sound378,1038_ITH_ANG_XX
Sound379,1064_IOM_ANG_XX
Sound380,1064_IOM_ANG_XX
Sound381,1064_IOM_ANG_XX
Sound382,1054_TSI_NEU_XX
Sound383,1054_TSI_NEU_XX
Sound384,1054_TSI_NEU_XX
Sound385,1007_DFA_SAD_XX
Sound386,1007_DFA_SAD_XX
Sound387,1007_DFA_SAD_XX
Sound388,1004_TSI_SAD_XX
Sound389,1004_TSI_SAD_XX
Sound390,1004_TSI_SAD_XX
Sound391,1020_ITH_DIS_XX
Sound392,1020_ITH_DIS_XX
Sound393,1020_ITH_DIS_XX
Sound394,1004_DFA_HAP_XX
Sound395,1004_DFA_HAP_XX
Sound396,1004_DFA_HAP_XX
Sound397,1015_IWW_FEA_XX
Sound398,1015_IWW_FEA_XX
Sound399,1015_IWW_FEA_XX
Sound400,1059_ITH_DIS_XX
Sound401,1059_ITH_DIS_XX
Sound402,1059_ITH_DIS_XX
Sound403,1043_MTI_HAP_XX
Sound404,1043_MTI_HAP_XX
Sound405,1043_MTI_HAP_XX
Sound406,1003_DFA_SAD_XX
Sound407,1003_DFA_SAD_XX
Sound408,1003_DFA_SAD_XX
Sound409,1064_DFA_HAP_XX
Sound410,1064_DFA_HAP_XX
Sound411,1064_DFA_HAP_XX
Sound412,1007_IOM_ANG_XX
Sound413,1007_IOM_ANG_XX
Sound414,1007_IOM_ANG_XX
Sound415,1016_IEO_SAD_LO
Sound416,1016_IEO_SAD_LO
Sound417,1016_IEO_SAD_LO
Sound418,1003_TAI_NEU_XX
Sound419,1003_TAI_NEU_XX
Sound420,1003_TAI_NEU_XX
Sound421,1051_IEO_DIS_MD
Sound422,1051_IEO_DIS_MD
Sound423,1051_IEO_DIS_MD
Sound424,1075_DFA_ANG_XX
Sound425,1075_DFA_ANG_XX
Sound426,1075_DFA_ANG_XX
Sound427,1024_IEO_NEU_XX
Sound428,1024_IEO_NEU_XX
Sound429,1024_IEO_NEU_XX
Sound430,1055_DFA_HAP_XX
Sound431,1055_DFA_HAP_XX
Sound432,1055_DFA_HAP_XX
Sound433,1090_TSI_NEU_XX
Sound434,1090_TSI_NEU_XX
Sound435,1090_TSI_NEU_XX
Sound436,1062_MTI_ANG_XX
Sound437,1062_MTI_ANG_XX
Sound438,1062_MTI_ANG_XX
Sound439,1016_TAI_NEU_XX
Sound440,1016_TAI_NEU_XX
Sound441,1016_TAI_NEU_XX
Sound442,1042_TAI_DIS_XX
Sound443,1042_TAI_DIS_XX
Sound444,1042_TAI_DIS_XX
Sound445,1012_TIE_ANG_XX
Sound446,1012_TIE_ANG_XX
Sound447,1012_TIE_ANG_XX
Sound448,1084_IEO_FEA_HI
Sound449,1084_IEO_FEA_HI
Sound450,1084_IEO_FEA_HI
Sound451,1054_ITH_ANG_XX
Sound452,1054_ITH_ANG_XX
Sound453,1054_ITH_ANG_XX
Sound454,1039_MTI_NEU_XX
Sound455,1039_MTI_NEU_XX
Sound456,1039_MTI_NEU_XX
Sound457,1020_IWW_SAD_XX
Sound458,1020_IWW_SAD_XX
Sound459,1020_IWW_SAD_XX
Sound460,1017_IWW_ANG_XX
Sound461,1017_IWW_ANG_XX
Sound462,1017_IWW_ANG_XX
Sound463,1051_IWL_SAD_XX
Sound464,1051_IWL_SAD_XX
Sound465,1051_IWL_SAD_XX
Sound466,1018_ITS_SAD_XX
Sound467,1018_ITS_SAD_XX
Sound468,1018_ITS_SAD_XX
Sound469,1051_TAI_DIS_XX
Sound470,1051_TAI_DIS_XX
Sound471,1051_TAI_DIS_XX
Sound472,1006_IWL_ANG_XX
Sound473,1006_IWL_ANG_XX
Sound474,1006_IWL_ANG_XX
Sound475,1034_IEO_HAP_LO
Sound476,1034_IEO_HAP_LO
Sound477,1034_IEO_HAP_LO
Sound478,1077_IWL_SAD_XX
Sound479,1077_IWL_SAD_XX
Sound480,1077_IWL_SAD_XX
Sound481,1003_IWL_HAP_XX
Sound482,1003_IWL_HAP_XX
Sound483,1003_IWL_HAP_XX
Sound484,1054_TAI_FEA_XX
Sound485,1054_TAI_FEA_XX
Sound486,1054_TAI_FEA_XX
Sound487,1006_IWW_SAD_XX
Sound488,1006_IWW_SAD_XX
Sound489,1006_IWW_SAD_XX
Sound490,1006_IEO_FEA_LO
Sound491,1006_IEO_FEA_LO
Sound492,1006_IEO_FEA_LO
Sound493,1020_DFA_HAP_XX
Sound494,1020_DFA_HAP_XX
Sound495,1020_DFA_HAP_XX
Sound496,1067_TIE_ANG_XX
Sound497,1067_TIE_ANG_XX
Sound498,1067_TIE_ANG_XX
Sound499,1082_ITH_ANG_XX
Sound500,1082_ITH_ANG_XX
Sound501,1082_ITH_ANG_XX
Sound502,1034_DFA_SAD_XX
Sound503,1034_DFA_SAD_XX
Sound504,1034_DFA_SAD_XX
Sound505,1066_TSI_DIS_XX
Sound506,1066_TSI_DIS_XX
Sound507,1066_TSI_DIS_XX
Sound508,1072_TAI_SAD_XX
Sound509,1072_TAI_SAD_XX
Sound510,1072_TAI_SAD_XX
Sound511,1036_IEO_SAD_MD
Sound512,1036_IEO_SAD_MD
Sound513,1036_IEO_SAD_MD
Sound514,1044_IEO_HAP_LO
Sound515,1044_IEO_HAP_LO
Sound516,1044_IEO_HAP_LO
Sound517,1062_WSI_NEU_XX
Sound518,1062_WSI_NEU_XX
Sound519,1062_WSI_NEU_XX
Sound520,1010_IWL_FEA_XX
Sound521,1010_IWL_FEA_XX
Sound522,1010_IWL_FEA_XX
Sound523,1037_IWL_FEA_XX
Sound524,1037_IWL_FEA_XX
Sound525,1037_IWL_FEA_XX
Sound526,1026_IOM_FEA_XX
Sound527,1026_IOM_FEA_XX
Sound528,1026_IOM_FEA_XX
Sound529,1032_ITS_HAP_XX
Sound530,1032_ITS_HAP_XX
Sound531,1032_ITS_HAP_XX
Sound532,1075_DFA_HAP_XX
Sound533,1075_DFA_HAP_XX
Sound534,1075_DFA_HAP_XX
Sound535,1080_WSI_DIS_XX
Sound536,1080_WSI_DIS_XX
Sound537,1080_WSI_DIS_XX
Sound538,1044_IEO_DIS_HI
Sound539,1044_IEO_DIS_HI
Sound540,1044_IEO_DIS_HI
Sound541,1007_ITH_HAP_XX
Sound542,1007_ITH_HAP_XX
Sound543,1007_ITH_HAP_XX
Sound544,1029_IOM_DIS_XX
Sound545,1029_IOM_DIS_XX
Sound546,1029_IOM_DIS_XX
Sound547,1042_IOM_FEA_XX
Sound548,1042_IOM_FEA_XX
Sound549,1042_IOM_FEA_XX
Sound550,1027_IWL_ANG_XX
Sound551,1027_IWL_ANG_XX
Sound552,1027_IWL_ANG_XX
Sound553,1009_WSI_FEA_XX
Sound554,1009_WSI_FEA_XX
Sound555,1009_WSI_FEA_XX
Sound556,1047_IEO_SAD_HI
Sound557,1047_IEO_SAD_HI
Sound558,1047_IEO_SAD_HI
Sound559,1061_IWW_DIS_XX
Sound560,1061_IWW_DIS_XX
Sound561,1061_IWW_DIS_XX
Sound562,1065_IEO_HAP_LO
Sound563,1065_IEO_HAP_LO
Sound564,1065_IEO_HAP_LO
Sound565,1067_IEO_FEA_MD
Sound566,1067_IEO_FEA_MD
Sound567,1067_IEO_FEA_MD
Sound568,1055_TIE_HAP_XX
Sound569,1055_TIE_HAP_XX
Sound570,1055_TIE_HAP_XX
Sound571,1088_IWW_HAP_XX
Sound572,1088_IWW_HAP_XX
Sound573,1088_IWW_HAP_XX
Sound574,1028_ITH_NEU_XX
Sound575,1028_ITH_NEU_XX
Sound576,1028_ITH_NEU_XX
Sound577,1022_IEO_NEU_XX
Sound578,1022_IEO_NEU_XX
Sound579,1022_IEO_NEU_XX
Sound580,1001_WSI_ANG_XX
Sound581,1001_WSI_ANG_XX
Sound582,1001_WSI_ANG_XX
Sound583,1004_IWW_FEA_XX
Sound584,1004_IWW_FEA_XX
Sound585,1004_IWW_FEA_XX
Sound586,1050_IEO_HAP_LO
Sound587,1050_IEO_HAP_LO
Sound588,1050_IEO_HAP_LO
Sound589,1014_IEO_FEA_LO
Sound590,1014_IEO_FEA_LO
Sound591,1014_IEO_FEA_LO
Sound592,1087_IOM_FEA_XX
Sound593,1087_IOM_FEA_XX
Sound594,1087_IOM_FEA_XX
Sound595,1067_TSI_ANG_XX
Sound596,1067_TSI_ANG_XX
Sound597,1067_TSI_ANG_XX
Sound598,1017_ITH_SAD_XX
Sound599,1017_ITH_SAD_XX
Sound600,1017_ITH_SAD_XX
Sound601,1017_IEO_HAP_HI
Sound602,1017_IEO_HAP_HI
Sound603,1017_IEO_HAP_HI
Sound604,1022_IOM_ANG_XX
Sound605,1022_IOM_ANG_XX
Sound606,1022_IOM_ANG_XX
Sound607,1089_IWL_FEA_XX
Sound608,1089_IWL_FEA_XX
Sound609,1089_IWL_FEA_XX
Sound610,1037_IEO_FEA_LO
Sound611,1037_IEO_FEA_LO
Sound612,1037_IEO_FEA_LO
Sound613,1028_MTI_HAP_XX
Sound614,1028_MTI_HAP_XX
Sound615,1028_MTI_HAP_XX
Sound616,1067_WSI_DIS_XX
Sound617,1067_WSI_DIS_XX
Sound618,1067_WSI_DIS_XX
Sound619,1080_ITH_ANG_XX
Sound620,1080_ITH_ANG_XX
Sound621,1080_ITH_ANG_XX
Sound622,1032_ITH_NEU_XX
Sound623,1032_ITH_NEU_XX
Sound624,1032_ITH_NEU_XX
Sound625,1064_IWW_FEA_XX
Sound626,1064_IWW_FEA_XX
Sound627,1064_IWW_FEA_XX
Sound628,1028_IOM_SAD_XX
Sound629,1028_IOM_SAD_XX
Sound630,1028_IOM_SAD_XX
Sound631,1020_TSI_NEU_XX
Sound632,1020_TSI_NEU_XX
Sound633,1020_TSI_NEU_XX
Sound634,1036_TSI_ANG_XX
Sound635,1036_TSI_ANG_XX
Sound636,1036_TSI_ANG_XX
Sound637,1037_IEO_SAD_LO
Sound638,1037_IEO_SAD_LO
Sound639,1037_IEO_SAD_LO
Sound640,1028_TAI_NEU_XX
Sound641,1028_TAI_NEU_XX
Sound642,1028_TAI_NEU_XX
Sound643,1018_ITS_NEU_XX
Sound644,1018_ITS_NEU_XX
Sound645,1018_ITS_NEU_XX
Sound646,1084_ITH_NEU_XX
Sound647,1084_ITH_NEU_XX
Sound648,1084_ITH_NEU_XX
Sound649,1036_ITS_ANG_XX
Sound650,1036_ITS_ANG_XX
Sound651,1036_ITS_ANG_XX
Sound652,1025_TAI_FEA_XX
Sound653,1025_TAI_FEA_XX
Sound654,1025_TAI_FEA_XX
Sound655,1015_IWW_HAP_XX
Sound656,1015_IWW_HAP_XX
Sound657,1015_IWW_HAP_XX
Sound658,1024_WSI_NEU_XX
Sound659,1024_WSI_NEU_XX
Sound660,1024_WSI_NEU_XX
Sound661,1039_WSI_NEU_XX
Sound662,1039_WSI_NEU_XX
Sound663,1039_WSI_NEU_XX
Sound664,1035_WSI_NEU_XX
Sound665,1035_WSI_NEU_XX
Sound666,1035_WSI_NEU_XX
Sound667,1007_IEO_HAP_MD
Sound668,1007_IEO_HAP_MD
Sound669,1007_IEO_HAP_MD
Sound670,1026_WSI_HAP_XX
Sound671,1026_WSI_HAP_XX
Sound672,1026_WSI_HAP_XX
Sound673,1022_IEO_HAP_LO
Sound674,1022_IEO_HAP_LO
Sound675,1022_IEO_HAP_LO
Sound676,1025_ITH_DIS_XX
Sound677,1025_ITH_DIS_XX
Sound678,1025_ITH_DIS_XX
Sound679,1042_IEO_SAD_MD
Sound680,1042_IEO_SAD_MD
Sound681,1042_IEO_SAD_MD
Sound682,1051_IEO_SAD_LO
Sound683,1051_IEO_SAD_LO
Sound684,1051_IEO_SAD_LO
Sound685,1090_IOM_SAD_XX
Sound686,1090_IOM_SAD_XX
Sound687,1090_IOM_SAD_XX
Sound688,1055_ITS_NEU_XX
Sound689,1055_ITS_NEU_XX
Sound690,1055_ITS_NEU_XX
Sound691,1024_TSI_DIS_XX
Sound692,1024_TSI_DIS_XX
Sound693,1024_TSI_DIS_XX
Sound694,1056_ITH_DIS_XX
Sound695,1056_ITH_DIS_XX
Sound696,1056_ITH_DIS_XX
Sound697,1007_DFA_HAP_XX
Sound698,1007_DFA_HAP_XX
Sound699,1007_DFA_HAP_XX
Sound700,1028_ITH_DIS_XX
Sound701,1028_ITH_DIS_XX
Sound702,1028_ITH_DIS_XX
Sound703,1035_WSI_DIS_XX
Sound704,1035_WSI_DIS_XX
Sound705,1035_WSI_DIS_XX
Sound706,1058_IOM_DIS_XX
Sound707,1058_IOM_DIS_XX
Sound708,1058_IOM_DIS_XX
Sound709,1056_TAI_ANG_XX
Sound710,1056_TAI_ANG_XX
Sound711,1056_TAI_ANG_XX
Sound712,1023_ITS_NEU_XX
Sound713,1023_ITS_NEU_XX
Sound714,1023_ITS_NEU_XX
Sound715,1008_TSI_SAD_XX
Sound716,1008_TSI_SAD_XX
Sound717,1008_TSI_SAD_XX
Sound718,1009_IWL_HAP_XX
Sound719,1009_IWL_HAP_XX
Sound720,1009_IWL_HAP_XX
Sound721,1006_IWW_ANG_XX
Sound722,1006_IWW_ANG_XX
Sound723,1006_IWW_ANG_XX
Sound724,1053_TSI_DIS_XX
Sound725,1053_TSI_DIS_XX
Sound726,1053_TSI_DIS_XX
Sound727,1071_IWW_DIS_XX
Sound728,1071_IWW_DIS_XX
Sound729,1071_IWW_DIS_XX
Sound730,1028_TAI_DIS_XX
Sound731,1028_TAI_DIS_XX
Sound732,1028_TAI_DIS_XX
Sound733,1009_IEO_SAD_LO
Sound734,1009_IEO_SAD_LO
Sound735,1009_IEO_SAD_LO
